Northgate Bank,
Account,Business Checking 7742
Statement period,07/01/2025 - 07/31/2025
Opening balance,459762.93
Total deposits,80718.22
Total withdrawals,-106438.84
Closing balance,434042.31

Date,Description,Amount,Balance,Transaction ID
07/01/2025,ACH DEBIT WINGTIP WORKSPACE RENT 2025-07,-6500.00,453262.93,NGB100252
07/02/2025,ACH DEBIT FABRIKAM FREIGHT 91111,-754.53,452508.40,NGB100272
07/02/2025,ACH DEBIT LITWARE LEGAL LLP 33976,-2318.42,450189.98,NGB100283
07/03/2025,ACH DEBIT NORTHWIND SUPPLY 97032,-493.35,449696.63,NGB100293
07/04/2025,ACH DEBIT FABRIKAM FREIGHT 75380,-763.03,448933.60,NGB100277
07/04/2025,ACH DEBIT REDWOOD PROTOTYPING 87916,-384.76,448548.84,NGB100288
07/05/2025,ACH DEBIT VANTAGE CARD PAYMENT 3391,-10282.64,438266.20,NGB100255
07/05/2025,TRANSFER TO SAVINGS 7809,-5000.00,433266.20,NGB100257
07/05/2025,ACH DEBIT FABRIKAM FREIGHT 35385,-621.04,432645.16,NGB100275
07/05/2025,ACH DEBIT BLUEPEAK ENGINEERING 53296,-1627.10,431018.06,NGB100278
07/05/2025,ACH DEBIT NORTHWIND SUPPLY 89376,-837.78,430180.28,NGB100279
07/05/2025,ACH DEBIT FABRIKAM FREIGHT 77054,-230.89,429949.39,NGB100282
07/06/2025,ACH DEBIT REDWOOD PROTOTYPING 33964,-938.89,429010.50,NGB100280
07/06/2025,ACH DEBIT FABRIKAM FREIGHT 90285,-591.68,428418.82,NGB100301
07/08/2025,ACH DEBIT REDWOOD PROTOTYPING 96889,-403.86,428014.96,NGB100286
07/10/2025,ACH CREDIT HELIOS MANUFACTURING LLC INV-1010,40356.02,468370.98,NGB100259
07/10/2025,ACH CREDIT HELIOS MANUFACTURING LLC INV-1011,7750.00,476120.98,NGB100260
07/10/2025,ACH DEBIT FABRIKAM FREIGHT 30035,-488.51,475632.47,NGB100295
07/10/2025,ACH DEBIT FABRIKAM FREIGHT 81571,-229.32,475403.15,NGB100303
07/12/2025,ACH DEBIT NORTHWIND SUPPLY NWS-4405,-12296.55,463106.60,NGB100261
07/12/2025,ACH DEBIT NORTHWIND SUPPLY 36272,-1183.69,461922.91,NGB100281
07/12/2025,ACH DEBIT BLUEPEAK ENGINEERING 52711,-1089.22,460833.69,NGB100304
07/13/2025,ACH DEBIT LITWARE LEGAL LLP 30501,-873.19,459960.50,NGB100296
07/15/2025,PROSEWARE PAYROLL WIRE 0715,-23360.05,436600.45,NGB100262
07/15/2025,PAYLANE PAYOUT 2025071,17936.71,454537.16,NGB100264
07/15/2025,ACH DEBIT BLUEPEAK ENGINEERING 68953,-1211.82,453325.34,NGB100287
07/15/2025,ACH DEBIT NORTHWIND SUPPLY 79584,-336.83,452988.51,NGB100289
07/15/2025,ACH DEBIT BLUEPEAK ENGINEERING 26007,-1636.48,451352.03,NGB100300
07/16/2025,ACH DEBIT FABRIKAM FREIGHT 24499,-153.84,451198.19,NGB100276
07/17/2025,ACH DEBIT QUARTZ CAD SVCS 88789,-433.71,450764.48,NGB100268
07/18/2025,ACH DEBIT TREY RESEARCH,-2900.42,447864.06,NGB100266
07/20/2025,ACH DEBIT REDWOOD PROTOTYPING 19546,-779.28,447084.78,NGB100292
07/22/2025,ACH DEBIT BLUEPEAK ENGINEERING 61186,-486.07,446598.71,NGB100299
07/23/2025,ACH DEBIT LITWARE LEGAL LLP 13137,-1389.81,445208.90,NGB100273
07/25/2025,ACH DEBIT BLUEPEAK ENGINEERING 36631,-1793.97,443414.93,NGB100294
07/26/2025,ACH DEBIT QUARTZ CAD SVCS 67026,-643.06,442771.87,NGB100269
07/31/2025,PROSEWARE PAYROLL WIRE 0731,-23360.05,419411.82,NGB100263
07/31/2025,PAYLANE PAYOUT 2025072,14675.49,434087.31,NGB100265
07/31/2025,MONTHLY MAINTENANCE FEE,-45.00,434042.31,NGB100305
