Northgate Bank,
Account,Business Checking 7742
Statement period,02/01/2026 - 02/28/2026
Opening balance,257895.49
Total deposits,106122.45
Total withdrawals,-133715.63
Closing balance,230302.31

Date,Description,Amount,Balance,Transaction ID
02/01/2026,ACH DEBIT WINGTIP WORKSPACE RENT 2026-02,-6500.00,251395.49,NGB100723
02/02/2026,ACH DEBIT FABRIKAM FREIGHT 48102,-405.57,250989.92,NGB100792
02/02/2026,ACH DEBIT QUARTZ CAD SVCS 31866,-389.68,250600.24,NGB100794
02/03/2026,ACH DEBIT REDWOOD PROTOTYPING 65857,-774.80,249825.44,NGB100766
02/03/2026,ACH DEBIT QUARTZ CAD SVCS 52114,-321.81,249503.63,NGB100777
02/04/2026,ACH DEBIT LITWARE LEGAL LLP 36566,-423.64,249079.99,NGB100760
02/05/2026,ACH DEBIT VANTAGE CARD PAYMENT 3391,-18119.76,230960.23,NGB100726
02/05/2026,TRANSFER TO SAVINGS 7809,-5000.00,225960.23,NGB100728
02/05/2026,ACH DEBIT QUARTZ CAD SVCS 58986,-437.07,225523.16,NGB100746
02/07/2026,ACH DEBIT NORTHWIND SUPPLY 23636,-1179.78,224343.38,NGB100767
02/07/2026,ACH DEBIT FABRIKAM FREIGHT 36269,-253.51,224089.87,NGB100783
02/08/2026,ACH DEBIT LITWARE LEGAL LLP 86226,-1234.17,222855.70,NGB100756
02/09/2026,ACH DEBIT NORTHWIND SUPPLY 18686,-167.06,222688.64,NGB100799
02/10/2026,ACH CREDIT VOLT DYNAMICS INC INV-1024,54392.03,277080.67,NGB100730
02/10/2026,ACH CREDIT VOLT DYNAMICS INC INV-1025,9500.00,286580.67,NGB100731
02/10/2026,ACH DEBIT LITWARE LEGAL LLP 94023,-621.39,285959.28,NGB100745
02/10/2026,ACH DEBIT FABRIKAM FREIGHT 18553,-503.81,285455.47,NGB100784
02/11/2026,ACH DEBIT BLUEPEAK ENGINEERING 61092,-1469.34,283986.13,NGB100740
02/11/2026,ACH DEBIT FABRIKAM FREIGHT 70881,-728.31,283257.82,NGB100748
02/12/2026,ACH DEBIT NORTHWIND SUPPLY NWS-4412,-16217.01,267040.81,NGB100732
02/13/2026,ACH DEBIT QUARTZ CAD SVCS 62567,-712.76,266328.05,NGB100786
02/14/2026,ACH DEBIT NORTHWIND SUPPLY 39332,-1138.55,265189.50,NGB100800
02/15/2026,PROSEWARE PAYROLL WIRE 0215,-26751.02,238438.48,NGB100733
02/15/2026,PAYLANE PAYOUT 2026021,23226.73,261665.21,NGB100735
02/17/2026,ACH DEBIT NORTHWIND SUPPLY 33608,-275.42,261389.79,NGB100768
02/18/2026,ACH DEBIT TREY RESEARCH,-3571.09,257818.70,NGB100737
02/19/2026,ACH DEBIT QUARTZ CAD SVCS 29900,-800.52,257018.18,NGB100752
02/19/2026,ACH DEBIT REDWOOD PROTOTYPING 44296,-1097.35,255920.83,NGB100769
02/19/2026,ACH DEBIT LITWARE LEGAL LLP 39212,-1212.30,254708.53,NGB100793
02/20/2026,ACH DEBIT LITWARE LEGAL LLP 95981,-1313.19,253395.34,NGB100744
02/20/2026,ACH DEBIT REDWOOD PROTOTYPING 10486,-386.11,253009.23,NGB100780
02/20/2026,ACH DEBIT NORTHWIND SUPPLY 75841,-1001.81,252007.42,NGB100790
02/20/2026,ACH DEBIT QUARTZ CAD SVCS 50822,-200.64,251806.78,NGB100796
02/21/2026,ACH DEBIT FABRIKAM FREIGHT 91331,-201.66,251605.12,NGB100754
02/21/2026,ACH DEBIT LITWARE LEGAL LLP 24294,-1475.87,250129.25,NGB100765
02/21/2026,ACH DEBIT LITWARE LEGAL LLP 25214,-2394.04,247735.21,NGB100773
02/21/2026,ACH DEBIT LITWARE LEGAL LLP 12326,-498.88,247236.33,NGB100787
02/21/2026,ACH DEBIT FABRIKAM FREIGHT 59664,-446.58,246789.75,NGB100801
02/22/2026,ACH DEBIT NORTHWIND SUPPLY 24380,-397.01,246392.74,NGB100753
02/23/2026,ACH DEBIT LITWARE LEGAL LLP 78963,-1242.38,245150.36,NGB100763
02/23/2026,ACH DEBIT NORTHWIND SUPPLY 88444,-312.99,244837.37,NGB100771
02/23/2026,ACH DEBIT FABRIKAM FREIGHT 23270,-138.35,244699.02,NGB100779
02/24/2026,ACH DEBIT NORTHWIND SUPPLY 32396,-879.38,243819.64,NGB100742
02/25/2026,ACH DEBIT FABRIKAM FREIGHT 48808,-446.27,243373.37,NGB100759
02/25/2026,ACH DEBIT REDWOOD PROTOTYPING 61342,-1189.03,242184.34,NGB100761
02/25/2026,ACH DEBIT LITWARE LEGAL LLP 79915,-1737.04,240447.30,NGB100772
02/25/2026,ACH DEBIT REDWOOD PROTOTYPING 78359,-482.63,239964.67,NGB100781
02/26/2026,ACH DEBIT FABRIKAM FREIGHT 97235,-543.05,239421.62,NGB100770
02/26/2026,ACH DEBIT FABRIKAM FREIGHT 64950,-598.58,238823.04,NGB100788
02/27/2026,ACH DEBIT BLUEPEAK ENGINEERING 26501,-728.40,238094.64,NGB100802
02/28/2026,PROSEWARE PAYROLL WIRE 0228,-26751.02,211343.62,NGB100734
02/28/2026,PAYLANE PAYOUT 2026022,19003.69,230347.31,NGB100736
02/28/2026,MONTHLY MAINTENANCE FEE,-45.00,230302.31,NGB100804
