Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,02/01/2026 - 02/28/2026
Opening balance,-18119.76
Total deposits,18119.76
Total withdrawals,-19148.67
Closing balance,-19148.67

Date,Description,Amount,Balance,Transaction ID
02/03/2026,CASCADE OFFICE SUPPLY,-366.35,-18486.11,VCS100775
02/04/2026,CONTOSO CLOUD MONTHLY,-3960.00,-22446.11,VCS100724
02/05/2026,PAYMENT RECEIVED THANK YOU,18119.76,-4326.35,VCS100727
02/06/2026,SKYWARD AIR 0169,-734.55,-5060.90,VCS100738
02/06/2026,CONTOSO CLOUD OVERAGE,-1154.18,-6215.08,VCS100774
02/08/2026,LUMINA ADS PLATFORM,-554.40,-6769.48,VCS100797
02/10/2026,HARBOR DINER,-177.63,-6947.11,VCS100803
02/11/2026,HARBOR DINER,-176.57,-7123.68,VCS100778
02/12/2026,CASCADE OFFICE SUPPLY,-451.98,-7575.66,VCS100747
02/13/2026,HARBOR DINER,-106.62,-7682.28,VCS100743
02/13/2026,METRO RIDESHARE,-92.31,-7774.59,VCS100757
02/14/2026,TAILSPIN TOOLS MONTHLY,-59.12,-7833.71,VCS100741
02/14/2026,CASCADE OFFICE SUPPLY,-217.48,-8051.19,VCS100764
02/15/2026,CONTOSO CLOUD OVERAGE,-1310.25,-9361.44,VCS100789
02/16/2026,HARBOR DINER,-119.21,-9480.65,VCS100758
02/16/2026,METRO RIDESHARE,-26.03,-9506.68,VCS100762
02/16/2026,LUMINA ADS PLATFORM,-1644.54,-11151.22,VCS100782
02/16/2026,LUMINA ADS PLATFORM,-330.48,-11481.70,VCS100785
02/17/2026,CASCADE OFFICE SUPPLY,-164.63,-11646.33,VCS100751
02/18/2026,LUMINA ADS PLATFORM,-2493.86,-14140.19,VCS100798
02/20/2026,METRO RIDESHARE,-32.98,-14173.17,VCS100739
02/21/2026,CONTOSO CLOUD OVERAGE,-545.98,-14719.15,VCS100795
02/22/2026,FABRIKAM FREIGHT LOGISTICS,-1801.83,-16520.98,VCS100725
02/23/2026,HARBOR DINER,-188.56,-16709.54,VCS100755
02/24/2026,SKYWARD AIR 0169,-429.45,-17138.99,VCS100776
02/25/2026,SKYWARD AIR 0169,-613.76,-17752.75,VCS100749
02/26/2026,CONTOSO CLOUD OVERAGE,-1137.62,-18890.37,VCS100791
02/27/2026,CASCADE OFFICE SUPPLY,-258.30,-19148.67,VCS100750
