Northgate Bank,
Account,Business Checking 7742
Statement period,09/01/2025 - 09/30/2025
Opening balance,405117.36
Total deposits,87645.67
Total withdrawals,-116819.21
Closing balance,375943.82

Date,Description,Amount,Balance,Transaction ID
09/01/2025,ACH DEBIT WINGTIP WORKSPACE RENT 2025-09,-6500.00,398617.36,NGB100367
09/02/2025,ACH DEBIT NORTHWIND SUPPLY 45032,-817.43,397799.93,NGB100390
09/02/2025,ACH DEBIT LITWARE LEGAL LLP 13708,-1701.17,396098.76,NGB100416
09/03/2025,ACH DEBIT FABRIKAM FREIGHT 75001,-446.99,395651.77,NGB100422
09/04/2025,ACH DEBIT BLUEPEAK ENGINEERING 23780,-1717.52,393934.25,NGB100385
09/05/2025,ACH DEBIT VANTAGE CARD PAYMENT 3391,-8983.02,384951.23,NGB100370
09/05/2025,TRANSFER TO SAVINGS 7809,-5000.00,379951.23,NGB100372
09/06/2025,ACH DEBIT QUARTZ CAD SVCS 88662,-501.80,379449.43,NGB100403
09/06/2025,ACH DEBIT QUARTZ CAD SVCS 44295,-405.60,379043.83,NGB100425
09/07/2025,ACH DEBIT LITWARE LEGAL LLP 20791,-974.73,378069.10,NGB100383
09/07/2025,ACH DEBIT NORTHWIND SUPPLY 31230,-175.76,377893.34,NGB100408
09/07/2025,ACH DEBIT REDWOOD PROTOTYPING 18714,-970.97,376922.37,NGB100410
09/08/2025,ACH DEBIT REDWOOD PROTOTYPING 21978,-1259.38,375662.99,NGB100387
09/09/2025,ACH DEBIT FABRIKAM FREIGHT 13825,-611.40,375051.59,NGB100399
09/09/2025,ACH DEBIT FABRIKAM FREIGHT 73321,-499.17,374552.42,NGB100401
09/09/2025,ACH DEBIT REDWOOD PROTOTYPING 24763,-1350.09,373202.33,NGB100406
09/10/2025,ACH CREDIT CORVUS LABS INC INV-1014,43747.27,416949.60,NGB100374
09/10/2025,ACH CREDIT CORVUS LABS INC INV-1015,8250.00,425199.60,NGB100375
09/10/2025,ACH DEBIT NORTHWIND SUPPLY 33005,-924.57,424275.03,NGB100394
09/11/2025,ACH DEBIT FABRIKAM FREIGHT 81665,-468.52,423806.51,NGB100392
09/11/2025,ACH DEBIT LITWARE LEGAL LLP 15076,-462.80,423343.71,NGB100398
09/11/2025,ACH DEBIT REDWOOD PROTOTYPING 63578,-1141.10,422202.61,NGB100418
09/11/2025,ACH DEBIT QUARTZ CAD SVCS 13005,-728.91,421473.70,NGB100427
09/12/2025,ACH DEBIT NORTHWIND SUPPLY NWS-4407,-13791.23,407682.47,NGB100376
09/12/2025,ACH DEBIT REDWOOD PROTOTYPING 18469,-604.86,407077.61,NGB100395
09/14/2025,ACH DEBIT LITWARE LEGAL LLP 59115,-1064.74,406012.87,NGB100420
09/15/2025,PROSEWARE PAYROLL WIRE 0915,-24328.90,381683.97,NGB100377
09/15/2025,PAYLANE PAYOUT 2025091,19606.62,401290.59,NGB100379
09/15/2025,ACH DEBIT BLUEPEAK ENGINEERING 73587,-1358.77,399931.82,NGB100400
09/15/2025,ACH DEBIT FABRIKAM FREIGHT 93631,-527.94,399403.88,NGB100404
09/15/2025,ACH DEBIT NORTHWIND SUPPLY 37556,-1141.10,398262.78,NGB100407
09/16/2025,ACH DEBIT FABRIKAM FREIGHT 71962,-620.91,397641.87,NGB100413
09/16/2025,ACH DEBIT REDWOOD PROTOTYPING 26458,-613.65,397028.22,NGB100417
09/17/2025,ACH DEBIT NORTHWIND SUPPLY 49494,-311.88,396716.34,NGB100393
09/17/2025,ACH DEBIT NORTHWIND SUPPLY 12433,-505.46,396210.88,NGB100397
09/17/2025,ACH DEBIT FABRIKAM FREIGHT 64066,-509.74,395701.14,NGB100424
09/18/2025,ACH DEBIT TREY RESEARCH,-2095.45,393605.69,NGB100381
09/18/2025,ACH DEBIT QUARTZ CAD SVCS 38641,-608.55,392997.14,NGB100396
09/19/2025,'=SUM(A1:A99) RETURNED ITEM ADJUSTMENT,-312.44,392684.70,NGB100428
09/20/2025,ACH DEBIT REDWOOD PROTOTYPING 58358,-1093.87,391590.83,NGB100405
09/20/2025,ACH DEBIT REDWOOD PROTOTYPING 55434,-1145.70,390445.13,NGB100421
09/24/2025,ACH DEBIT FABRIKAM FREIGHT 93489,-457.12,389988.01,NGB100386
09/24/2025,ACH DEBIT LITWARE LEGAL LLP 31324,-2330.08,387657.93,NGB100415
09/24/2025,ACH DEBIT NORTHWIND SUPPLY 57723,-1061.72,386596.21,NGB100426
09/25/2025,ACH DEBIT QUARTZ CAD SVCS 90682,-308.34,386287.87,NGB100411
09/26/2025,ACH DEBIT REDWOOD PROTOTYPING 85075,-1324.37,384963.50,NGB100384
09/27/2025,ACH DEBIT QUARTZ CAD SVCS 16790,-687.56,384275.94,NGB100388
09/30/2025,PROSEWARE PAYROLL WIRE 0930,-24328.90,359947.04,NGB100378
09/30/2025,PAYLANE PAYOUT 2025092,16041.78,375988.82,NGB100380
09/30/2025,MONTHLY MAINTENANCE FEE,-45.00,375943.82,NGB100429
