Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,01/01/2026 - 01/31/2026
Opening balance,-8348.73
Total deposits,8348.73
Total withdrawals,-18119.76
Closing balance,-18119.76

Date,Description,Amount,Balance,Transaction ID
01/02/2026,HARBOR DINER,-157.38,-8506.11,VCS100700
01/02/2026,HARBOR DINER,-169.81,-8675.92,VCS100704
01/02/2026,HARBOR DINER,-121.66,-8797.58,VCS100711
01/03/2026,CASCADE OFFICE SUPPLY,-109.88,-8907.46,VCS100678
01/04/2026,CONTOSO CLOUD MONTHLY,-3840.00,-12747.46,VCS100645
01/04/2026,METRO RIDESHARE,-84.64,-12832.10,VCS100663
01/05/2026,PAYMENT RECEIVED THANK YOU,8348.73,-4483.37,VCS100648
01/05/2026,METRO RIDESHARE,-40.22,-4523.59,VCS100660
01/05/2026,METRO RIDESHARE,-24.29,-4547.88,VCS100671
01/05/2026,LUMINA ADS PLATFORM,-1440.61,-5988.49,VCS100680
01/06/2026,HARBOR DINER,-158.50,-6146.99,VCS100673
01/08/2026,TAILSPIN TOOLS MONTHLY,-180.29,-6327.28,VCS100693
01/11/2026,LUMINA ADS PLATFORM,-1523.11,-7850.39,VCS100706
01/12/2026,METRO RIDESHARE,-48.51,-7898.90,VCS100690
01/13/2026,CONTOSO CLOUD OVERAGE,-1071.71,-8970.61,VCS100666
01/13/2026,CONTOSO CLOUD OVERAGE,-322.92,-9293.53,VCS100702
01/15/2026,SKYWARD AIR 0169,-468.78,-9762.31,VCS100667
01/15/2026,LUMINA ADS PLATFORM,-723.86,-10486.17,VCS100692
01/15/2026,LUMINA ADS PLATFORM,-2428.80,-12914.97,VCS100720
01/19/2026,TAILSPIN TOOLS MONTHLY,-183.67,-13098.64,VCS100677
01/21/2026,LUMINA ADS PLATFORM,-2580.06,-15678.70,VCS100686
01/22/2026,FABRIKAM FREIGHT LOGISTICS,-1307.93,-16986.63,VCS100646
01/22/2026,CASCADE OFFICE SUPPLY,-214.74,-17201.37,VCS100713
01/23/2026,HARBOR DINER,-33.77,-17235.14,VCS100698
01/23/2026,HARBOR DINER,-205.29,-17440.43,VCS100701
01/24/2026,HARBOR DINER,-132.46,-17572.89,VCS100696
01/25/2026,LUMINA ADS PLATFORM,-335.79,-17908.68,VCS100691
01/26/2026,HARBOR DINER,-147.86,-18056.54,VCS100674
01/27/2026,HARBOR DINER,-63.22,-18119.76,VCS100710
