Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,07/01/2025 - 07/31/2025
Opening balance,-10282.64
Total deposits,10282.64
Total withdrawals,-11377.24
Closing balance,-11377.24

Date,Description,Amount,Balance,Transaction ID
07/02/2025,CONTOSO CLOUD OVERAGE,-1141.12,-11423.76,VCS100298
07/04/2025,CONTOSO CLOUD MONTHLY,-3120.00,-14543.76,VCS100253
07/05/2025,PAYMENT RECEIVED THANK YOU,10282.64,-4261.12,VCS100256
07/07/2025,LUMINA ADS PLATFORM,-550.57,-4811.69,VCS100291
07/07/2025,LUMINA ADS PLATFORM,-1784.34,-6596.03,VCS100302
07/08/2025,CASCADE OFFICE SUPPLY,-203.02,-6799.05,VCS100284
07/09/2025,TAILSPIN TOOLS MONTHLY,-314.88,-7113.93,VCS100270
07/09/2025,CASCADE OFFICE SUPPLY,-431.71,-7545.64,VCS100271
07/11/2025,CONTOSO CLOUD OVERAGE,-865.69,-8411.33,VCS100290
07/12/2025,METRO RIDESHARE,-32.58,-8443.91,VCS100267
07/12/2025,CONTOSO CLOUD OVERAGE,-1010.22,-9454.13,VCS100285
07/12/2025,METRO RIDESHARE,-66.98,-9521.11,VCS100297
07/22/2025,FABRIKAM FREIGHT LOGISTICS,-1667.96,-11189.07,VCS100254
07/22/2025,TAILSPIN TOOLS MONTHLY,-188.17,-11377.24,VCS100274
