Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,11/01/2025 - 11/30/2025
Opening balance,-16937.82
Total deposits,16937.82
Total withdrawals,-15045.25
Closing balance,-15045.25

Date,Description,Amount,Balance,Transaction ID
11/03/2025,CASCADE OFFICE SUPPLY,-215.22,-17153.04,VCS100550
11/04/2025,CONTOSO CLOUD MONTHLY,-3600.00,-20753.04,VCS100499
11/05/2025,PAYMENT RECEIVED THANK YOU,16937.82,-3815.22,VCS100502
11/05/2025,METRO RIDESHARE,-46.65,-3861.87,VCS100524
11/11/2025,SKYWARD AIR 0169,-792.82,-4654.69,VCS100523
11/11/2025,METRO RIDESHARE,-21.53,-4676.22,VCS100528
11/12/2025,CONTOSO CLOUD OVERAGE,-142.85,-4819.07,VCS100518
11/12/2025,CASCADE OFFICE SUPPLY,-448.74,-5267.81,VCS100537
11/14/2025,LUMINA ADS PLATFORM,-346.62,-5614.43,VCS100514
11/15/2025,LUMINA ADS PLATFORM,-528.15,-6142.58,VCS100548
11/16/2025,CONTOSO CLOUD OVERAGE,-477.13,-6619.71,VCS100535
11/17/2025,HARBOR DINER,-127.38,-6747.09,VCS100541
11/17/2025,LUMINA ADS PLATFORM,-2441.18,-9188.27,VCS100546
11/17/2025,TAILSPIN TOOLS MONTHLY,-272.38,-9460.65,VCS100551
11/17/2025,METRO RIDESHARE,-24.78,-9485.43,VCS100553
11/18/2025,LUMINA ADS PLATFORM,-2336.20,-11821.63,VCS100562
11/20/2025,METRO RIDESHARE,-21.50,-11843.13,VCS100549
11/21/2025,TAILSPIN TOOLS MONTHLY,-319.01,-12162.14,VCS100529
11/22/2025,FABRIKAM FREIGHT LOGISTICS,-1384.02,-13546.16,VCS100500
11/22/2025,CONTOSO CLOUD OVERAGE,-876.67,-14422.83,VCS100547
11/25/2025,CONTOSO CLOUD OVERAGE,-622.42,-15045.25,VCS100539
