Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,08/01/2025 - 08/31/2025
Opening balance,-11377.24
Total deposits,11377.24
Total withdrawals,-8983.02
Closing balance,-8983.02

Date,Description,Amount,Balance,Transaction ID
08/02/2025,LUMINA ADS PLATFORM,-1613.51,-12990.75,VCS100337
08/04/2025,CONTOSO CLOUD MONTHLY,-3240.00,-16230.75,VCS100308
08/05/2025,PAYMENT RECEIVED THANK YOU,11377.24,-4853.51,VCS100311
08/05/2025,METRO RIDESHARE,-87.09,-4940.60,VCS100346
08/08/2025,HARBOR DINER,-61.82,-5002.42,VCS100335
08/09/2025,CASCADE OFFICE SUPPLY,-187.05,-5189.47,VCS100362
08/13/2025,SKYWARD AIR 0169,-550.07,-5739.54,VCS100351
08/22/2025,FABRIKAM FREIGHT LOGISTICS,-1669.42,-7408.96,VCS100309
08/22/2025,CONTOSO CLOUD OVERAGE,-1164.10,-8573.06,VCS100347
08/23/2025,HARBOR DINER,-106.35,-8679.41,VCS100328
08/24/2025,HARBOR DINER,-106.57,-8785.98,VCS100357
08/25/2025,HARBOR DINER,-197.04,-8983.02,VCS100361
