Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,09/01/2025 - 09/30/2025
Opening balance,-8983.02
Total deposits,8983.02
Total withdrawals,-7729.21
Closing balance,-7729.21

Date,Description,Amount,Balance,Transaction ID
09/04/2025,CONTOSO CLOUD MONTHLY,-3360.00,-12343.02,VCS100368
09/05/2025,PAYMENT RECEIVED THANK YOU,8983.02,-3360.00,VCS100371
09/06/2025,SKYWARD AIR 0169,-727.10,-4087.10,VCS100423
09/11/2025,HARBOR DINER,-68.96,-4156.06,VCS100389
09/15/2025,TAILSPIN TOOLS MONTHLY,-259.53,-4415.59,VCS100412
09/17/2025,CASCADE OFFICE SUPPLY,-337.41,-4753.00,VCS100409
09/18/2025,CASCADE OFFICE SUPPLY,-232.90,-4985.90,VCS100382
09/20/2025,LUMINA ADS PLATFORM,-817.23,-5803.13,VCS100414
09/21/2025,CONTOSO CLOUD OVERAGE,-311.44,-6114.57,VCS100402
09/22/2025,FABRIKAM FREIGHT LOGISTICS,-1513.60,-7628.17,VCS100369
09/23/2025,METRO RIDESHARE,-34.02,-7662.19,VCS100391
09/27/2025,METRO RIDESHARE,-67.02,-7729.21,VCS100419
