Northgate Bank,
Account,Business Checking 7742
Statement period,01/01/2025 - 01/31/2025
Opening balance,0.00
Total deposits,547655.04
Total withdrawals,-142151.07
Closing balance,405503.97

Date,Description,Amount,Balance,Transaction ID
01/01/2025,DEPOSIT FOUNDER STOCK PURCHASE,25000.00,25000.00,NGB100000
01/01/2025,ACH DEBIT WINGTIP WORKSPACE RENT 2025-01,-6500.00,18500.00,NGB100004
01/02/2025,ACH DEBIT ADATUM INSURANCE POLICY AR-88213,-14400.00,4100.00,NGB100001
01/02/2025,WIRE IN HARBORLIGHT VENTURES SAFE,500000.00,504100.00,NGB100002
01/02/2025,ACH DEBIT BLUEPEAK ENGINEERING 16355,-1721.05,502378.95,NGB100026
01/04/2025,ACH DEBIT QUARTZ CAD SVCS 86072,-794.84,501584.11,NGB100019
01/05/2025,ACH DEBIT VANTAGE CARD PAYMENT 3391,-4182.65,497401.46,NGB100007
01/05/2025,TRANSFER TO SAVINGS 7809,-5000.00,492401.46,NGB100009
01/11/2025,ACH DEBIT REDWOOD PROTOTYPING 32277,-880.56,491520.90,NGB100016
01/12/2025,ACH DEBIT QUARTZ CAD SVCS 13255,-241.18,491279.72,NGB100023
01/15/2025,WIRE OUT ORION DESIGN WORKS LICENSE,-60000.00,431279.72,NGB100003
01/15/2025,PROSEWARE PAYROLL WIRE 0115,-20453.50,410826.22,NGB100011
01/15/2025,PAYLANE PAYOUT 2025011,12460.27,423286.49,NGB100013
01/18/2025,ACH DEBIT TREY RESEARCH,-3733.92,419552.57,NGB100015
01/19/2025,ACH DEBIT REDWOOD PROTOTYPING 77466,-1051.47,418501.10,NGB100024
01/21/2025,ACH DEBIT LITWARE LEGAL LLP 22580,-806.75,417694.35,NGB100022
01/25/2025,ACH DEBIT QUARTZ CAD SVCS 46783,-210.20,417484.15,NGB100018
01/26/2025,ACH DEBIT LITWARE LEGAL LLP 99921,-1172.17,416311.98,NGB100027
01/27/2025,ACH DEBIT QUARTZ CAD SVCS 39368,-504.28,415807.70,NGB100029
01/31/2025,PROSEWARE PAYROLL WIRE 0131,-20453.50,395354.20,NGB100012
01/31/2025,PAYLANE PAYOUT 2025012,10194.77,405548.97,NGB100014
01/31/2025,MONTHLY MAINTENANCE FEE,-45.00,405503.97,NGB100030
