Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,03/01/2025 - 03/31/2025
Opening balance,-8248.71
Total deposits,8248.71
Total withdrawals,-13126.90
Closing balance,-13126.90

Date,Description,Amount,Balance,Transaction ID
03/04/2025,CONTOSO CLOUD MONTHLY,-2640.00,-10888.71,VCS100071
03/05/2025,PAYMENT RECEIVED THANK YOU,8248.71,-2640.00,VCS100074
03/13/2025,LUMINA ADS PLATFORM,-1941.58,-4581.58,VCS100087
03/14/2025,LUMINA ADS PLATFORM,-1151.83,-5733.41,VCS100085
03/15/2025,CONTOSO CLOUD OVERAGE,-610.28,-6343.69,VCS100090
03/19/2025,LUMINA ADS PLATFORM,-2420.49,-8764.18,VCS100093
03/19/2025,CONTOSO CLOUD OVERAGE,-361.57,-9125.75,VCS100103
03/21/2025,SKYWARD AIR 0169,-490.39,-9616.14,VCS100104
03/22/2025,FABRIKAM FREIGHT LOGISTICS,-1524.78,-11140.92,VCS100072
03/26/2025,SKYWARD AIR 0169,-447.50,-11588.42,VCS100099
03/27/2025,CONTOSO CLOUD OVERAGE,-1388.20,-12976.62,VCS100094
03/27/2025,TAILSPIN TOOLS MONTHLY,-55.09,-13031.71,VCS100095
03/27/2025,HARBOR DINER,-95.19,-13126.90,VCS100106
