Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,10/01/2025 - 10/31/2025
Opening balance,-7729.21
Total deposits,7729.21
Total withdrawals,-16937.82
Closing balance,-16937.82

Date,Description,Amount,Balance,Transaction ID
10/03/2025,SKYWARD AIR 0169,-481.90,-8211.11,VCS100474
10/04/2025,CONTOSO CLOUD MONTHLY,-3480.00,-11691.11,VCS100432
10/05/2025,PAYMENT RECEIVED THANK YOU,7729.21,-3961.90,VCS100435
10/05/2025,CONTOSO CLOUD OVERAGE,-598.97,-4560.87,VCS100468
10/05/2025,CASCADE OFFICE SUPPLY,-152.65,-4713.52,VCS100487
10/06/2025,TAILSPIN TOOLS MONTHLY,-173.85,-4887.37,VCS100456
10/06/2025,SKYWARD AIR 0169,-524.42,-5411.79,VCS100475
10/07/2025,HARBOR DINER,-58.06,-5469.85,VCS100483
10/08/2025,LUMINA ADS PLATFORM,-1615.16,-7085.01,VCS100460
10/10/2025,LUMINA ADS PLATFORM,-1775.66,-8860.67,VCS100481
10/12/2025,LUMINA ADS PLATFORM,-1947.49,-10808.16,VCS100489
10/13/2025,CASCADE OFFICE SUPPLY,-467.12,-11275.28,VCS100493
10/15/2025,METRO RIDESHARE,-31.05,-11306.33,VCS100448
10/15/2025,CONTOSO CLOUD OVERAGE,-1099.62,-12405.95,VCS100478
10/16/2025,CONTOSO CLOUD OVERAGE,-1255.68,-13661.63,VCS100476
10/18/2025,CONTOSO CLOUD OVERAGE,-368.05,-14029.68,VCS100485
10/18/2025,METRO RIDESHARE,-80.09,-14109.77,VCS100486
10/20/2025,METRO RIDESHARE,-89.56,-14199.33,VCS100471
10/22/2025,FABRIKAM FREIGHT LOGISTICS,-1869.13,-16068.46,VCS100433
10/22/2025,HARBOR DINER,-76.59,-16145.05,VCS100451
10/23/2025,HARBOR DINER,-152.20,-16297.25,VCS100449
10/23/2025,TAILSPIN TOOLS MONTHLY,-172.43,-16469.68,VCS100463
10/25/2025,HARBOR DINER,-52.47,-16522.15,VCS100473
10/26/2025,METRO RIDESHARE,-41.29,-16563.44,VCS100452
10/26/2025,CASCADE OFFICE SUPPLY,-374.38,-16937.82,VCS100490
